This dataset was obtained through the ICEH retriever, a data platform developed by the International Center for Equity in Health (https://www.equidade.org/retriever)
Database version: 2026-04
ISO,Country,Year,Final Year,Source,UNICEF Region,Indicator Code,Indicator,Reference,Strat,Level,Estimate,Standard Error,Sample Size
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,bfcur12_15,Percentage of children who are currently breastfeeding,Age 12-15 months,wealth deciles,D06,44.1,8.6,55
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,bfcur12_15,Percentage of children who are currently breastfeeding,Age 12-15 months,wealth deciles,D07,36.7,7.1,60
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,bfcur12_15,Percentage of children who are currently breastfeeding,Age 12-15 months,wealth deciles,D08,36.8,7.2,54
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,bfcur12_15,Percentage of children who are currently breastfeeding,Age 12-15 months,wealth deciles,D09,32.0,7.4,52
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,bfcur12_15,Percentage of children who are currently breastfeeding,Age 12-15 months,wealth deciles,D10,18.8,6.6,54
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,bfcur12_15,Percentage of children who are currently breastfeeding,Age 12-15 months,wealth quintiles,Q1,71.0,5.4,95
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,bfcur12_15,Percentage of children who are currently breastfeeding,Age 12-15 months,wealth quintiles,Q2,64.5,4.7,104
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,bfcur12_15,Percentage of children who are currently breastfeeding,Age 12-15 months,wealth quintiles,Q3,52.4,6.7,93
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,bfcur12_15,Percentage of children who are currently breastfeeding,Age 12-15 months,wealth quintiles,Q4,36.7,5.4,114
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,bfcur12_15,Percentage of children who are currently breastfeeding,Age 12-15 months,wealth quintiles,Q5,25.5,5.0,106
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,bfcur12_15,Percentage of children who are currently breastfeeding,Age 12-15 months,woman's education,none,52.4,3.3,415
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,bfcur12_15,Percentage of children who are currently breastfeeding,Age 12-15 months,woman's education,primary,41.9,5.9,78
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,bfcur12_15,Percentage of children who are currently breastfeeding,Age 12-15 months,woman's education,secondary+,SS,SS,17
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,bfcur12_15,Percentage of children who are currently breastfeeding,Age 12-15 months,woman's education (4 groups),none,52.4,3.3,415
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,bfcur12_15,Percentage of children who are currently breastfeeding,Age 12-15 months,woman's education (4 groups),primary,41.9,5.9,78
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,bfcur12_15,Percentage of children who are currently breastfeeding,Age 12-15 months,woman's education (4 groups),secondary,SS,SS,15
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,bfcur12_15,Percentage of children who are currently breastfeeding,Age 12-15 months,woman's education (4 groups),higher,SS,SS,2
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,bfcur12_23,Percentage of children who are currently breastfeeding,Age 12-23 months,area,urban,28.2,2.8,421
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,bfcur12_23,Percentage of children who are currently breastfeeding,Age 12-23 months,area,rural,52.2,2.6,675
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,bfcur12_23,Percentage of children who are currently breastfeeding,Age 12-23 months,national,all,43.2,2.1,1096
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,bfcur12_23,Percentage of children who are currently breastfeeding,Age 12-23 months,sex,male,42.9,2.6,587
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,bfcur12_23,Percentage of children who are currently breastfeeding,Age 12-23 months,sex,female,43.5,2.5,509
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,bfcur12_23,Percentage of children who are currently breastfeeding,Age 12-23 months,subnational unit,Somaliland,30.9,3.2,243
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,bfcur12_23,Percentage of children who are currently breastfeeding,Age 12-23 months,subnational unit,Puntland,28.5,3.5,265
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,bfcur12_23,Percentage of children who are currently breastfeeding,Age 12-23 months,subnational unit,South Central,50.1,2.8,588
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,bfcur12_23,Percentage of children who are currently breastfeeding,Age 12-23 months,wealth deciles,D01,61.4,5.6,91
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,bfcur12_23,Percentage of children who are currently breastfeeding,Age 12-23 months,wealth deciles,D02,60.4,5.4,93
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,bfcur12_23,Percentage of children who are currently breastfeeding,Age 12-23 months,wealth deciles,D03,61.4,4.6,124
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,bfcur12_23,Percentage of children who are currently breastfeeding,Age 12-23 months,wealth deciles,D04,46.9,5.7,85
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,bfcur12_23,Percentage of children who are currently breastfeeding,Age 12-23 months,wealth deciles,D05,49.9,5.0,103
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,bfcur12_23,Percentage of children who are currently breastfeeding,Age 12-23 months,wealth deciles,D06,45.3,4.8,112
