facility_id,admin_area_1,admin_area_2,admin_area_3,admin_area_4
LlZc0y4vQBa,Kenya,Kilifi County,Kilifi North Sub County,Sokoni Ward
LlzH0YaH2nB,Kenya,Uasin Gishu County,Ainabkoi Sub County,Kapsoya Ward
lM6jXczT5kj,Kenya,Turkana County,Aroo Sub County,Kaputir Ward
LM6PNuBwLw8,Kenya,Siaya County,Ugenya Sub County,North Ugenya Ward
LM6YIpZduiU,Kenya,Bungoma County,Sirisia Sub County,Malakisi/South Kulisiru Ward
Lm7Atr9pb6R,Kenya,Kilifi County,Malindi Sub County,Malindi Town Ward
LM7i36O4H17,Kenya,Nyeri County,Nyeri South Sub County,Karima Ward
Lm8o853knxl,Kenya,Kilifi County,Magarini Sub County,Gongoni Ward
lm940d0UOeo,Kenya,Kiambu County,Kiambu Town Sub County,Ndumberi Ward
LmBHWxodfI7,Kenya,Makueni County,Makueni Sub County,Wote Ward
Lmelec9IqEX,Kenya,Kirinyaga County,Kirinyaga Central Sub County,Mutira Ward
LMgQSc8hjM7,Kenya,Kitui County,Kitui West Sub County,Kauwi Ward
LMhJlDiSnXD,Kenya,Kilifi County,Magarini Sub County,Marafa Ward
lmjsZcvSbbG,Kenya,Bungoma County,Kabuchai Sub County,Mukuyuni Ward
LMkJXGmHvYd,Kenya,Kitui County,Kitui West Sub County,Kwamutonga/Kithumula Ward
lmlz4GfS8rm,Kenya,Tana River County,Galole Sub County,Wayu Ward
lMnD1XiJ9Zp,Kenya,Nairobi County,Westlands Sub County,Parklands/Highridge Ward
LMoGWfAGRDb,Kenya,Nairobi County,Langata Sub County,Nyayo Highrise Ward
lMp1ODEzkO4,Kenya,Kwale County,Kinango Sub County,Kinango Ward
lmR9ogNtSEc,Kenya,Kiambu County,Ruiru Sub County,Gatongora Ward
lmRB0IvtF1n,Kenya,Kilifi County,Kilifi South Sub County,Shimo La Tewa Ward
OPpCGyY0Aij,Kenya,Vihiga County,Hamisi Sub County,Shiru Ward
LmRIJNR3vBJ,Kenya,Turkana County,Turkana South Sub County,Lokichar Ward
LMrrCJ5eIO3,Kenya,Tharaka Nithi County,Chuka Sub County,Magumoni Ward
