"indicator_common_id","year","coverage_original_estimate","coverage_avgsurveyprojection","coverage_cov"
"penta1",2003,0.65,NA,NA
"penta1",2004,0.5,NA,NA
"penta1",2005,0.5,NA,NA
"penta1",2006,0.4,NA,NA
"penta1",2007,0.59,NA,NA
"penta1",2008,0.4,NA,NA
"penta1",2009,0.52,NA,NA
"penta1",2010,0.55,NA,NA
"penta1",2011,0.52,NA,NA
"penta1",2012,0.52,NA,NA
"penta1",2013,0.53,NA,NA
"penta1",2014,0.55,NA,NA
"penta1",2015,0.56,NA,NA
"penta1",2016,0.57,NA,NA
"penta1",2017,0.59,NA,NA
"penta1",2018,0.6,NA,NA
"penta1",2019,0.65,NA,NA
"penta1",2020,0.63,NA,NA
"penta1",2021,0.68,NA,NA
"penta1",2022,0.79,NA,NA
"penta1",2023,0.78,NA,NA
"penta1",2024,0.78,0.78,NA
"penta1",2025,NA,0.78,NA
"penta1",2026,NA,0.78,NA
"penta3",2000,0.33,NA,NA
"penta3",2001,0.33,NA,NA
"penta3",2002,0.4,NA,NA
"penta3",2003,0.4,NA,NA
"penta3",2004,0.3,NA,NA
"penta3",2005,0.35,NA,NA
"penta3",2006,0.26,NA,NA
"penta3",2007,0.4,NA,NA
"penta3",2008,0.31,NA,NA
"penta3",2009,0.42,NA,NA
"penta3",2010,0.45,NA,NA
"penta3",2011,0.41,NA,NA
"penta3",2012,0.42,NA,NA
"penta3",2013,0.44,NA,NA
"penta3",2014,0.46,NA,NA
"penta3",2015,0.48,NA,NA
"penta3",2016,0.49,NA,NA
"penta3",2017,0.51,NA,NA
"penta3",2018,0.53,NA,NA
"penta3",2019,0.57,NA,NA
"penta3",2020,0.55,NA,NA
"penta3",2021,0.62,NA,NA
"penta3",2022,0.71,NA,NA
"penta3",2023,0.69,NA,NA
"penta3",2024,0.7,0.7,NA
"penta3",2025,NA,0.7,NA
"penta3",2026,NA,0.7,NA
"pnc1",2020,0.105,0.105,NA
"pnc1",2021,NA,0.105,NA
"pnc1",2022,NA,0.105,NA
"pnc1",2023,NA,0.105,NA
"pnc1",2024,NA,0.105,NA
"pnc1",2025,NA,0.105,NA
"pnc1",2026,NA,0.105,NA
"pnc1_mother",2020,0.105,0.105,NA
"pnc1_mother",2021,NA,0.105,NA
"pnc1_mother",2022,NA,0.105,NA
"pnc1_mother",2023,NA,0.105,NA
"pnc1_mother",2024,NA,0.105,NA
"pnc1_mother",2025,NA,0.105,NA
"pnc1_mother",2026,NA,0.105,NA
